,geometry
141126,"POLYGON ((-96.321732 30.650118, -96.318385 30.647159, -96.311878 30.653797, -96.31221 30.660984, -96.310455 30.662405, -96.306222 30.661784, -96.304776 30.666224, -96.312677 30.675801, -96.327854 30.662747, -96.327647 30.656352, -96.32294 30.650438, -96.321732 30.650118))"
141127,"POLYGON ((-96.271717 30.623639, -96.279791 30.629769, -96.283184 30.626383, -96.27606 30.619668, -96.276059 30.619668, -96.274635 30.615406, -96.268664 30.615814, -96.269003 30.623288, -96.271717 30.623639))"
141128,"POLYGON ((-96.223666 30.639749, -96.219274 30.635816, -96.219632 30.631189, -96.219364 30.630186, -96.213179 30.628567, -96.208519 30.624942, -96.197136 30.636433, -96.200542 30.639055, -96.216764 30.647152, -96.223666 30.639749))"
141129,"POLYGON ((-96.327551 30.645453, -96.328945 30.642573, -96.329317 30.640974, -96.328108 30.640334, -96.327922 30.637454, -96.328571 30.6357, -96.32916 30.63327, -96.325319 30.629942, -96.322832 30.628191, -96.317783 30.632795, -96.318612 30.637399, -96.312132 30.63963, -96.314228 30.643718, -96.316324 30.645642, -96.324849 30.64468, -96.324855 30.647372, -96.328387 30.648172, -96.328945 30.645933, -96.327551 30.645453))"
141130,"POLYGON ((-96.192879 30.645242, -96.175133 30.661279, -96.181586 30.666445, -96.198974 30.650099, -96.192879 30.645242))"
141131,"POLYGON ((-96.198117 30.687812, -96.179415 30.672741, -96.179292 30.672874, -96.175449 30.670304, -96.174069 30.671411, -96.170959 30.674872, -96.171365 30.675195, -96.171486 30.675341, -96.171712 30.67584, -96.171865 30.676472, -96.171955 30.676592, -96.17201 30.677123, -96.171973 30.677592, -96.172302 30.679006, -96.172508 30.679308, -96.172551 30.679371, -96.172736 30.679843, -96.172705 30.680011, -96.172694 30.680067, -96.172498 30.680248, -96.171867 30.680407, -96.171734 30.680395, -96.170296 30.68067, -96.170204 30.681461, -96.170328 30.681536, -96.170412 30.681531, -96.170633 30.681433, -96.17092 30.681437, -96.171268 30.68163, -96.171454 30.681861, -96.171485 30.682109, -96.171265 30.683233, -96.171201 30.684121, -96.170834 30.684681, -96.170491 30.685337, -96.170457 30.685656, -96.170478 30.686224, -96.170825 30.686909, -96.170822 30.68719, -96.170776 30.687326, -96.170651 30.687468, -96.170537 30.687544, -96.170849 30.687871, -96.170917 30.688401, -96.170935 30.688419, -96.170935 30.688525, -96.170934 30.688527, -96.171108 30.689874, -96.171335 30.689977, -96.171483 30.690103, -96.171716 30.690599, -96.171796 30.691052, -96.17214 30.691601, -96.172254 30.691692, -96.172914 30.69178, -96.173034 30.691924, -96.173065 30.692104, -96.173039 30.692138, -96.173024 30.692157, -96.172672 30.692616, -96.172839 30.69301, -96.173177 30.693483, -96.173287 30.693464, -96.173414 30.693552, -96.173645 30.69389, -96.173965 30.69391, -96.174102 30.693978, -96.174112 30.694156, -96.174177 30.694248, -96.174339 30.694405, -96.174702 30.694758, -96.174854 30.695119, -96.174862 30.695138, -96.174987 30.695435, -96.174996 30.695455, -96.175511 30.695964, -96.175675 30.696162, -96.176454 30.696444, -96.176538 30.696474, -96.176603 30.696497, -96.17678 30.696649, -96.176896 30.696838, -96.176891 30.697087, -96.176824 30.697256, -96.176668 30.697506, -96.176295 30.697933, -96.176143 30.69799, -96.176079 30.697968, -96.175797 30.698016, -96.175613 30.698531, -96.175642 30.698602, -96.175647 30.698707, -96.175524 30.69878, -96.175415 30.699083, -96.175646 30.699562, -96.17565 30.699564, -96.175983 30.700094, -96.176558 30.700276, -96.176629 30.700362, -96.176461 30.701089, -96.176573 30.701429, -96.176622 30.701854, -96.176589 30.701953, -96.17637 30.702038, -96.176353 30.702038, -96.175407 30.702688, -96.175813 30.703597, -96.175887 30.703604, -96.176477 30.703115, -96.176708 30.703041, -96.176968 30.703081, -96.177256 30.703443, -96.177434 30.703668, -96.177537 30.703938, -96.177512 30.70422, -96.17722 30.704747, -96.17722 30.70529, -96.177721 30.705873, -96.177824 30.706141, -96.177768 30.706195, -96.178365 30.706709, -96.179988 30.707201, -96.183601 30.704217, -96.183802 30.704384, -96.184919 30.703129, -96.18724 30.701211, -96.178174 30.694236, -96.178556 30.6912, -96.179051 30.690084, -96.183724 30.68725, -96.191461 30.693839, -96.198117 30.687812))"
141132,"POLYGON ((-96.302085 30.692119, -96.303003 30.69054, -96.300759 30.687997, -96.298413 30.690014, -96.302085 30.692119))"
141133,"POLYGON ((-96.198303 30.691919, -96.195299 30.697034, -96.198362 30.700833, -96.206432 30.700326, -96.2092 30.697389, -96.208729 30.696376, -96.210673 30.693286, -96.207374 30.690602, -96.200659 30.689944, -96.198303 30.691919))"
141134,"POLYGON ((-96.238564 30.70474, -96.239994 30.706159, -96.240049 30.707483, -96.246374 30.712969, -96.25028 30.708571, -96.24918 30.704788, -96.242579 30.699443, -96.238564 30.70474))"
141135,"POLYGON ((-96.624742 30.298231, -96.624902 30.298128, -96.624666 30.29814, -96.624742 30.298231))"
141136,"POLYGON ((-96.605803 30.3027, -96.605644 30.303128, -96.605346 30.303605, -96.605015 30.303911, -96.604881 30.304113, -96.604881 30.304123, -96.606149 30.303029, -96.608224 30.302253, -96.607542 30.302104, -96.60691 30.30224, -96.606492 30.301938, -96.606464 30.301917, -96.606448 30.301924, -96.606175 30.302038, -96.60599 30.302119, -96.605803 30.3027))"
141137,"POLYGON ((-96.754956 30.330346, -96.754426 30.330172, -96.754849 30.330637, -96.754513 30.330792, -96.754918 30.330767, -96.755078 30.330655, -96.755085 30.330482, -96.754956 30.330346))"
141138,"POLYGON ((-96.75407 30.330996, -96.753986 30.331035, -96.753645 30.332948, -96.753954 30.332807, -96.754155 30.332537, -96.754255 30.331905, -96.754187 30.33159, -96.753973 30.331328, -96.753991 30.331115, -96.75407 30.330996))"
141139,"POLYGON ((-96.753871 30.329445, -96.754139 30.329831, -96.75436 30.32959, -96.754461 30.329396, -96.754414 30.329225, -96.754233 30.329149, -96.75407 30.329152, -96.753835 30.329348, -96.753804 30.32944, -96.753871 30.329445))"
141140,"POLYGON ((-96.752169 30.329645, -96.75222 30.32977, -96.752259 30.329743, -96.753157 30.329404, -96.753126 30.329357, -96.75305 30.329328, -96.752736 30.329404, -96.752371 30.329368, -96.752295 30.329393, -96.752178 30.329539, -96.752169 30.329645))"
141141,"POLYGON ((-96.760692 30.340538, -96.760673 30.340539, -96.761101 30.341463, -96.761135 30.34112, -96.761129 30.341066, -96.761085 30.340961, -96.76104 30.34089, -96.760907 30.340747, -96.76087 30.34067, -96.760787 30.340571, -96.760692 30.340538))"
141142,"POLYGON ((-96.7609 30.342599, -96.760913 30.342533, -96.7609 30.342489, -96.760945 30.342462, -96.761071 30.342468, -96.761128 30.342451, -96.76116 30.342418, -96.761179 30.341984, -96.761158 30.341941, -96.760714 30.342555, -96.760742 30.342555, -96.760799 30.342599, -96.760849 30.342605, -96.7609 30.342599))"
141143,"POLYGON ((-96.760406 30.343065, -96.76047 30.342892, -96.760414 30.342969, -96.760406 30.343065))"
141144,"POLYGON ((-96.514842 30.332629, -96.508334 30.325231, -96.499525 30.326807, -96.498572 30.327834, -96.499207 30.338452, -96.503572 30.342493, -96.514842 30.332629))"
141145,"POLYGON ((-96.359672 30.369152, -96.360398 30.369104, -96.361525 30.367699, -96.36369 30.367147, -96.363317 30.367158, -96.363135 30.367239, -96.362646 30.367219, -96.361625 30.367334, -96.361045 30.367514, -96.360795 30.367641, -96.360511 30.367844, -96.359672 30.369152))"
141146,"POLYGON ((-96.779643 30.371636, -96.780666 30.372273, -96.780653 30.372191, -96.780539 30.372054, -96.780101 30.371905, -96.779968 30.37179, -96.779841 30.371663, -96.779784 30.371636, -96.779643 30.371636))"
141147,"POLYGON ((-96.77207 30.366586, -96.77188 30.366509, -96.771779 30.366493, -96.771626 30.366498, -96.771449 30.366481, -96.771301 30.366481, -96.773673 30.368109, -96.773598 30.367983, -96.773268 30.367593, -96.7724 30.366806, -96.77207 30.366586))"
141149,"POLYGON ((-96.776698 30.369227, -96.776742 30.369172, -96.776723 30.369095, -96.776495 30.36882, -96.776444 30.368787, -96.776381 30.368776, -96.776311 30.368776, -96.77614 30.368825, -96.775899 30.368924, -96.775854 30.368891, -96.775829 30.368765, -96.775747 30.3686, -96.775652 30.368523, -96.775576 30.368512, -96.775493 30.368556, -96.775461 30.368622, -96.775404 30.368682, -96.775373 30.368731, -96.775366 30.368814, -96.775265 30.369017, -96.775246 30.369078, -96.775204 30.369144, -96.775852 30.369528, -96.776076 30.369353, -96.776298 30.369155, -96.776374 30.3691, -96.776419 30.369084, -96.776469 30.369095, -96.776507 30.369122, -96.776539 30.369205, -96.776577 30.369243, -96.776615 30.369254, -96.77666 30.369254, -96.776698 30.369227))"
141150,"POLYGON ((-96.776577 30.369645, -96.776501 30.369568, -96.776374 30.369518, -96.776317 30.369529, -96.776254 30.369567, -96.776165 30.369714, -96.776558 30.369947, -96.776602 30.369919, -96.776647 30.369859, -96.776666 30.36981, -96.776666 30.369782, -96.776634 30.369722, -96.776577 30.369645))"
141151,"POLYGON ((-96.769175 30.361326, -96.769518 30.36389, -96.769656 30.364103, -96.769662 30.363974, -96.769732 30.363688, -96.76965 30.363523, -96.769631 30.363385, -96.769637 30.363259, -96.769663 30.363193, -96.769688 30.362946, -96.769707 30.362863, -96.76965 30.362605, -96.769587 30.362253, -96.769467 30.36173, -96.769264 30.361268, -96.769245 30.361175, -96.769146 30.360855, -96.769175 30.361326))"
141152,"POLYGON ((-96.770767 30.365814, -96.771118 30.366355, -96.771225 30.366429, -96.77117 30.366371, -96.770904 30.365997, -96.770767 30.365814))"
141153,"POLYGON ((-96.335033 30.385879, -96.335756 30.387748, -96.345239 30.387203, -96.352735 30.380347, -96.34271 30.37349, -96.338826 30.376061, -96.339639 30.381126, -96.335033 30.385879))"
141154,"POLYGON ((-96.789327 30.383716, -96.789697 30.383489, -96.789735 30.383423, -96.789742 30.383346, -96.789697 30.383236, -96.789539 30.383159, -96.789463 30.383143, -96.789399 30.383143, -96.789317 30.383159, -96.789028 30.383318, -96.789327 30.383716))"
141165,"POLYGON ((-96.707469 30.31777, -96.707386 30.317652, -96.707255 30.317588, -96.707051 30.317702, -96.70569 30.31904, -96.70538 30.319125, -96.704928 30.319101, -96.704362 30.319157, -96.704002 30.319234, -96.703704 30.319357, -96.703499 30.319528, -96.703464 30.319809, -96.703318 30.320066, -96.703089 30.320269, -96.702826 30.320374, -96.702421 30.320405, -96.702145 30.320342, -96.70171 30.319879, -96.701554 30.319632, -96.701443 30.31959, -96.701198 30.319604, -96.700537 30.320056, -96.699842 30.320275, -96.699522 30.320686, -96.699339 30.320764, -96.698972 30.320756, -96.698261 30.320586, -96.697528 30.320642, -96.697296 30.320579, -96.696847 30.32013, -96.696032 30.319875, -96.695797 30.319931, -96.695494 30.320176, -96.695381 30.320219, -96.694682 30.320191, -96.69412 30.319722, -96.693223 30.319218, -96.692077 30.318722, -96.691254 30.318483, -96.690789 30.318413, -96.686907 30.322525, -96.684769 30.325294, -96.690649 30.331446, -96.696173 30.326524, -96.721189 30.346694, -96.738121 30.331372, -96.741409 30.329953, -96.747984 30.332365, -96.751453 30.329445, -96.751514 30.329503, -96.751492 30.329227, -96.751357 30.329101, -96.751071 30.329097, -96.750959 30.329139, -96.750812 30.32926, -96.75077 30.329578, -96.750659 30.329616, -96.75058 30.329594, -96.750478 30.329369, -96.750515 30.32916, -96.750659 30.32899, -96.751038 30.328783, -96.751003 30.328619, -96.750865 30.3285, -96.751076 30.328329, -96.751129 30.328194, -96.751034 30.328001, -96.75081 30.327793, -96.750525 30.32778, -96.750304 30.327873, -96.750144 30.328307, -96.750134 30.328317, -96.750065 30.328392, -96.749963 30.328502, -96.749729 30.328647, -96.749568 30.328638, -96.749496 30.328561, -96.749466 30.328001, -96.749762 30.327717, -96.749689 30.327593, -96.749502 30.327532, -96.749385 30.327566, -96.749295 30.327683, -96.749194 30.328056, -96.749109 30.328129, -96.748913 30.328127, -96.748747 30.32803, -96.748716 30.327965, -96.74872 30.327896, -96.749156 30.327223, -96.749107 30.327098, -96.748953 30.327062, -96.748851 30.32712, -96.748581 30.327594, -96.748494 30.327668, -96.747889 30.327582, -96.747669 30.327433, -96.747643 30.327294, -96.747829 30.326652, -96.747825 30.326512, -96.747577 30.325914, -96.747482 30.325803, -96.74744 30.325775, -96.747427 30.325739, -96.747337 30.325634, -96.747149 30.325527, -96.746969 30.325424, -96.746774 30.325448, -96.746684 30.325518, -96.746705 30.325644, -96.746754 30.325964, -96.746894 30.326036, -96.747123 30.326154, -96.747097 30.326225, -96.747098 30.326247, -96.747069 30.326252, -96.746854 30.326353, -96.746663 30.326384, -96.746624 30.326376, -96.746598 30.326359, -96.746541 30.326353, -96.746485 30.326347, -96.745962 30.325858, -96.745945 30.325798, -96.745908 30.32575, -96.745731 30.325397, -96.745699 30.325191, -96.7458 30.324964, -96.745982 30.324777, -96.746452 30.324763, -96.746549 30.3247, -96.74654 30.324562, -96.74643 30.324338, -96.746309 30.324093, -96.746301 30.324066, -96.746275 30.324062, -96.74619 30.324028, -96.745868 30.32406, -96.745746 30.323973, -96.745722 30.323967, -96.745697 30.323945, -96.74568 30.323925, -96.745596 30.323865, -96.745177 30.324427, -96.745042 30.324505, -96.744898 30.324512, -96.744853 30.324472, -96.744812 30.324459, -96.744177 30.324068, -96.744129 30.324024, -96.744049 30.323949, -96.74403 30.323913, -96.743956 30.323875, -96.743959 30.323824, -96.743945 30.32374, -96.743984 30.323707, -96.744011 30.323693, -96.744052 30.32365, -96.744082 30.323625, -96.744117 30.32363, -96.744169 30.323638, -96.74435 30.323643, -96.74469 30.323667, -96.744749 30.323652, -96.74486 30.323616, -96.744923 30.323608, -96.745025 30.323582, -96.745091 30.323496, -96.745041 30.323401, -96.744917 30.323314, -96.74463 30.323229, -96.744593 30.323204, -96.744558 30.323208, -96.744496 30.323189, -96.744412 30.323112, -96.744426 30.323059, -96.744684 30.322569, -96.744763 30.32242, -96.744986 30.322262, -96.745047 30.322249, -96.745094 30.322247, -96.745208 30.322214, -96.745462 30.322158, -96.745548 30.322087, -96.745522 30.32195, -96.745363 30.321846, -96.745207 30.321815, -96.744967 30.321939, -96.744725 30.322063, -96.744663 30.322043, -96.744561 30.322032, -96.744528 30.322039, -96.744418 30.322026, -96.744183 30.32206, -96.74397 30.322218, -96.743852 30.322402, -96.743729 30.32239, -96.743561 30.322249, -96.743513 30.321979, -96.74376 30.321797, -96.743947 30.321574, -96.744088 30.321406, -96.744169 30.320994, -96.744269 30.320939, -96.744594 30.320925, -96.744686 30.320861, -96.744682 30.320691, -96.744596 30.320639, -96.74455 30.320611, -96.744186 30.320457, -96.743897 30.31995, -96.743672 30.319757, -96.743269 30.319766, -96.743144 30.319701, -96.742989 30.319621, -96.74283 30.31958, -96.74252 30.3195, -96.742039 30.319545, -96.741868 30.319573, -96.741532 30.319628, -96.741339 30.319571, -96.741281 30.319521, -96.741164 30.31942, -96.74072 30.318816, -96.740542 30.318655, -96.740339 30.318648, -96.740082 30.318757, -96.739614 30.3193, -96.739481 30.31932, -96.739452 30.319335, -96.73942 30.31934, -96.739381 30.319335, -96.739177 30.319366, -96.73897 30.319249, -96.738854 30.319263, -96.738666 30.319573, -96.738586 30.320296, -96.738532 30.320428, -96.738445 30.320497, -96.738202 30.320454, -96.737991 30.320287, -96.737891 30.319955, -96.738069 30.319675, -96.738089 30.319581, -96.737882 30.319205, -96.737615 30.319119, -96.737204 30.319124, -96.736671 30.319448, -96.736447 30.319743, -96.736506 30.319965, -96.73668 30.320255, -96.736852 30.32034, -96.737286 30.320235, -96.737443 30.320256, -96.737708 30.320517, -96.737801 30.320754, -96.737784 30.320892, -96.7375 30.321092, -96.737261 30.321133, -96.736045 30.321099, -96.735487 30.321397, -96.735109 30.321668, -96.734412 30.322032, -96.73433 30.322151, -96.73435 30.322285, -96.734801 30.322685, -96.734871 30.322843, -96.734727 30.323243, -96.734441 30.323713, -96.73434 30.323774, -96.734138 30.323784, -96.734034 30.323754, -96.733997 30.32373, -96.733953 30.323731, -96.73392 30.323721, -96.733787 30.323558, -96.733568 30.323161, -96.733618 30.322672, -96.733571 30.322616, -96.733371 30.322593, -96.733142 30.322667, -96.73286 30.322916, -96.732266 30.322981, -96.732173 30.32309, -96.732243 30.323253, -96.732847 30.323738, -96.732943 30.323933, -96.732925 30.324002, -96.732791 30.324125, -96.73263 30.324133, -96.731823 30.323752, -96.731786 30.323719, -96.731763 30.323711, -96.731773 30.323681, -96.731754 30.323626, -96.731738 30.32359, -96.731718 30.323132, -96.731608 30.323085, -96.731159 30.323206, -96.730891 30.323416, -96.730845 30.323551, -96.730866 30.323657, -96.731062 30.324109, -96.730768 30.324292, -96.730407 30.32424, -96.728517 30.323546, -96.727631 30.323535, -96.727449 30.32346, -96.726977 30.323062, -96.726751 30.32298, -96.726405 30.323081, -96.726045 30.323369, -96.725811 30.32332, -96.725145 30.322646, -96.725145 30.322511, -96.725363 30.322217, -96.725287 30.321984, -96.725037 30.321754, -96.724835 30.321636, -96.724096 30.32148, -96.723983 30.320967, -96.723884 30.320815, -96.723736 30.320758, -96.723289 30.320925, -96.723196 30.320922, -96.722968 30.320916, -96.722816 30.320869, -96.722767 30.320824, -96.722675 30.320804, -96.722612 30.320737, -96.722595 30.320702, -96.722576 30.320666, -96.722533 30.320611, -96.722549 30.320587, -96.722582 30.319865, -96.722557 30.319755, -96.722407 30.31969, -96.722343 30.319662, -96.721566 30.319557, -96.721368 30.319446, -96.721428 30.319286, -96.72194 30.31889, -96.721933 30.318829, -96.721917 30.31879, -96.721924 30.318751, -96.721917 30.318687, -96.721716 30.318566, -96.721513 30.318568, -96.721009 30.319023, -96.720889 30.319004, -96.720748 30.318882, -96.720757 30.318829, -96.720746 30.318801, -96.720741 30.318591, -96.720656 30.318525, -96.72009 30.318771, -96.719697 30.318859, -96.719534 30.318841, -96.719031 30.318624, -96.718935 30.318638, -96.718799 30.318665, -96.718644 30.318681, -96.718456 30.318708, -96.71814 30.318851, -96.717978 30.319012, -96.717953 30.319151, -96.718043 30.319606, -96.717911 30.319784, -96.717604 30.319876, -96.716915 30.319864, -96.71684 30.319892, -96.716803 30.319906, -96.716671 30.320042, -96.716455 30.320118, -96.716357 30.320153, -96.715645 30.320059, -96.714163 30.319592, -96.712948 30.319115, -96.712587 30.318974, -96.712516 30.318946, -96.712331 30.318924, -96.712166 30.318905, -96.712151 30.318869, -96.712043 30.318424, -96.711974 30.318253, -96.711923 30.318182, -96.711866 30.318132, -96.711847 30.318116, -96.711775 30.318089, -96.711714 30.318067, -96.711511 30.318089, -96.711416 30.318127, -96.711353 30.318166, -96.711239 30.318446, -96.711191 30.318543, -96.711163 30.3186, -96.711125 30.318627, -96.711068 30.318649, -96.710991 30.31866, -96.710447 30.318693, -96.710383 30.318704, -96.710148 30.318691, -96.710085 30.318688, -96.71008 30.318705, -96.710073 30.318724, -96.710056 30.318698, -96.710026 30.318651, -96.709995 30.318604, -96.709854 30.318532, -96.70868 30.318173, -96.708093 30.317751, -96.708032 30.31777, -96.707953 30.317791, -96.707788 30.318187, -96.707629 30.318201, -96.70758 30.31816, -96.707569 30.318139, -96.707536 30.318123, -96.707487 30.318082, -96.707469 30.31777))"
141166,"POLYGON ((-96.75374 30.334576, -96.753795 30.334513, -96.753848 30.333804, -96.753803 30.333668, -96.753519 30.333328, -96.75324 30.334154, -96.75374 30.334576))"
141167,"POLYGON ((-96.39855 30.353629, -96.398421 30.353609, -96.399139 30.353918, -96.39855 30.353629))"
141168,"POLYGON ((-96.690604 30.378042, -96.69302 30.380455, -96.700775 30.373545, -96.700903 30.366524, -96.699377 30.362575, -96.689841 30.362685, -96.68501 30.368499, -96.684628 30.3753, -96.679288 30.376287, -96.678907 30.379797, -96.68679 30.380565, -96.690604 30.378042))"
141169,"POLYGON ((-96.755008 30.384427, -96.759805 30.388106, -96.763461 30.384953, -96.759196 30.381012, -96.755008 30.384427))"
141170,"POLYGON ((-96.708233 30.387409, -96.710395 30.385545, -96.708742 30.38368, -96.706199 30.385983, -96.708233 30.387409))"
141171,"POLYGON ((-96.782578 30.376576, -96.782527 30.376511, -96.78247 30.376401, -96.782381 30.376329, -96.782254 30.37628, -96.782147 30.37628, -96.781747 30.37634, -96.781677 30.376334, -96.781538 30.376296, -96.781417 30.376208, -96.781341 30.37618, -96.781145 30.376147, -96.780974 30.376142, -96.780755 30.376166, -96.782457 30.376533, -96.782611 30.376637, -96.782578 30.376576))"
141172,"POLYGON ((-96.576105 30.575359, -96.573424 30.578773, -96.575693 30.580531, -96.578189 30.578577, -96.582046 30.583135, -96.57795 30.586934, -96.577571 30.588887, -96.573714 30.591947, -96.571521 30.591296, -96.567664 30.595007, -96.568799 30.599759, -96.572731 30.601256, -96.575513 30.598514, -96.580731 30.598058, -96.580732 30.598058, -96.58542 30.601964, -96.585345 30.610686, -96.58837 30.613094, -96.594647 30.609514, -96.599109 30.606065, -96.599718 30.586187, -96.599719 30.586187, -96.600475 30.585536, -96.603802 30.584234, -96.603575 30.583388, -96.599189 30.584429, -96.599714 30.572309, -96.593483 30.569629, -96.593483 30.569628, -96.593748 30.56211, -96.584878 30.555172, -96.579433 30.558428, -96.576332 30.55934, -96.578374 30.566177, -96.573534 30.572689, -96.576105 30.575359))"
141173,"POLYGON ((-96.424859 30.589537, -96.42513 30.589856, -96.425183 30.589911, -96.425239 30.589962, -96.424838 30.589509, -96.424859 30.589537))"
141174,"POLYGON ((-96.764548 30.347824, -96.764523 30.347698, -96.764403 30.347483, -96.76382 30.3469, -96.763687 30.346807, -96.763269 30.346592, -96.762793 30.346383, -96.762489 30.346234, -96.762407 30.346163, -96.762388 30.346091, -96.762419 30.345959, -96.762394 30.345844, -96.762248 30.345646, -96.762122 30.345453, -96.762123 30.345434, -96.762128 30.345261, -96.761723 30.345046, -96.761438 30.344854, -96.761285 30.344672, -96.76105 30.344326, -96.760975 30.344216, -96.760741 30.344023, -96.760582 30.343809, -96.760544 30.343781, -96.7605 30.343776, -96.760405 30.343688, -96.760359 30.343584, -96.759823 30.349599, -96.765982 30.354717, -96.765958 30.354582, -96.765901 30.354461, -96.765749 30.354257, -96.765616 30.354048, -96.765572 30.353944, -96.765572 30.353872, -96.765604 30.353795, -96.765756 30.353762, -96.765838 30.353801, -96.765971 30.353911, -96.766003 30.353922, -96.766123 30.354015, -96.766257 30.354065, -96.766371 30.354081, -96.766453 30.354082, -96.766542 30.354043, -96.766726 30.353933, -96.766859 30.353812, -96.766884 30.353735, -96.766859 30.35351, -96.766904 30.353383, -96.766942 30.353312, -96.766973 30.353273, -96.767011 30.353274, -96.767094 30.353329, -96.767227 30.353329, -96.767303 30.353301, -96.7675 30.353202, -96.767525 30.353158, -96.767538 30.353087, -96.767525 30.353048, -96.767487 30.353015, -96.767113 30.352773, -96.766936 30.352575, -96.766904 30.352526, -96.76691 30.352399, -96.766904 30.352355, -96.766822 30.352119, -96.766733 30.351976, -96.766717 30.351944, -96.766657 30.351827, -96.766442 30.351519, -96.766353 30.351437, -96.765973 30.351151, -96.76591 30.35103, -96.765612 30.350694, -96.765555 30.35065, -96.765263 30.350568, -96.765193 30.350529, -96.765136 30.35048, -96.765092 30.350392, -96.765054 30.350205, -96.764826 30.349996, -96.764623 30.349748, -96.764528 30.349528, -96.764484 30.349193, -96.764389 30.348918, -96.764307 30.348731, -96.764263 30.348605, -96.764364 30.348258, -96.764536 30.347934, -96.764548 30.347824))"
141175,"POLYGON ((-96.401111 30.353482, -96.401013 30.353611, -96.401225 30.353556, -96.402973 30.352409, -96.402875 30.352386, -96.402422 30.352409, -96.402138 30.352554, -96.401615 30.35296, -96.401111 30.353482))"
141176,"POLYGON ((-96.584465 30.410326, -96.574726 30.418, -96.581694 30.424516, -96.590594 30.415973, -96.584465 30.410326))"
141177,"POLYGON ((-96.319413 30.438087, -96.324858 30.442994, -96.3355 30.433286, -96.329313 30.428591, -96.319413 30.438087))"
141178,"POLYGON ((-96.699161 30.445083, -96.703356 30.4408, -96.696401 30.435612, -96.693862 30.439039, -96.6932 30.441799, -96.699161 30.445083))"
141179,"POLYGON ((-96.659629 30.439341, -96.6659 30.444889, -96.67108 30.448791, -96.672171 30.447475, -96.674788 30.447287, -96.682695 30.440705, -96.677133 30.436191, -96.674461 30.438918, -96.669826 30.439106, -96.6665 30.433934, -96.663337 30.433276, -96.659683 30.436755, -96.659629 30.439341))"
141180,"POLYGON ((-96.676028 30.450331, -96.677508 30.451374, -96.685378 30.447721, -96.684504 30.445981, -96.676028 30.450331))"
141181,"POLYGON ((-96.64894 30.439282, -96.651743 30.442268, -96.652776 30.441568, -96.651671 30.438837, -96.649826 30.437564, -96.64894 30.439282))"
141182,"POLYGON ((-96.657891 30.496117, -96.666366 30.488929, -96.65816 30.483132, -96.650693 30.489683, -96.657891 30.496117))"
