,geometry
138806,"POLYGON ((-97.974632 28.943285, -97.975196 28.941018, -97.975818 28.93037, -97.970861 28.930419, -97.971087 28.936335, -97.972044 28.936581, -97.971988 28.941462, -97.974632 28.943285))"
138807,"POLYGON ((-97.992761 28.933912, -97.992719 28.94207, -97.997713 28.942434, -97.997713 28.935442, -97.992761 28.933912))"
138808,"POLYGON ((-97.762252 28.958218, -97.770132 28.958192, -97.770132 28.953878, -97.762172 28.953968, -97.762252 28.958218))"
138809,"POLYGON ((-97.74722 28.964107, -97.750777 28.964025, -97.752041 28.96509, -97.755458 28.965008, -97.756675 28.963124, -97.757143 28.96251, -97.75719 28.960134, -97.755832 28.95911, -97.752369 28.959233, -97.752415 28.960708, -97.747126 28.960831, -97.74722 28.964107))"
138810,"POLYGON ((-97.78598 28.960662, -97.786211 28.959448, -97.785657 28.958922, -97.778489 28.958963, -97.778582 28.968875, -97.788801 28.968794, -97.788246 28.966003, -97.787044 28.964991, -97.785842 28.963171, -97.785842 28.96317, -97.785749 28.962159, -97.78598 28.960662))"
138811,"POLYGON ((-97.987247 28.945169, -97.982012 28.947696, -97.981199 28.948999, -97.982326 28.950505, -97.982326 28.950506, -97.982095 28.950708, -97.981168 28.951586, -97.98114 28.954624, -97.9796 28.955568, -97.979599 28.955568, -97.978059 28.95449, -97.977186 28.954939, -97.977185 28.954939, -97.976569 28.953591, -97.975902 28.951523, -97.97472 28.949636, -97.970663 28.950265, -97.969485 28.951519, -97.968201 28.952418, -97.965736 28.953811, -97.957664 28.958025, -97.955267 28.954208, -97.954189 28.953579, -97.952699 28.953174, -97.949669 28.953399, -97.94818 28.953624, -97.949566 28.955916, -97.946382 28.956949, -97.932147 28.935736, -97.930301 28.934926, -97.92922 28.932156, -97.927984 28.930939, -97.925128 28.930872, -97.924201 28.93175, -97.941789 28.9588, -97.943897 28.963336, -97.945496 28.966021, -97.94581 28.967233, -97.94655 28.967413, -97.946756 28.968636, -97.943342 28.971479, -97.940257 28.972846, -97.933934 28.975178, -97.925996 28.978309, -97.925995 28.978309, -97.925158 28.977602, -97.924849 28.975871, -97.916393 28.966874, -97.915033 28.966712, -97.9102 28.955993, -97.907603 28.956426, -97.905068 28.949771, -97.902719 28.949771, -97.902718 28.949771, -97.902286 28.94712, -97.901853 28.945064, -97.902488 28.943853, -97.903932 28.942427, -97.904895 28.941714, -97.905339 28.941033, -97.906117 28.939899, -97.90682 28.939089, -97.907593 28.918353, -97.898689 28.918624, -97.899246 28.922142, -97.895839 28.923319, -97.893366 28.922778, -97.893365 28.922778, -97.893089 28.910022, -97.880252 28.910382, -97.878562 28.913621, -97.874588 28.909182, -97.870252 28.909087, -97.837098 28.934772, -97.834797 28.937717, -97.835121 28.938656, -97.836243 28.94038, -97.837478 28.941473, -97.837478 28.941474, -97.837528 28.943709, -97.838204 28.943934, -97.842272 28.943934, -97.843399 28.944481, -97.843399 28.944482, -97.839581 28.94837, -97.83933 28.95067, -97.843148 28.950835, -97.843899 28.949958, -97.84947 28.949849, -97.851057 28.951774, -97.851631 28.952689, -97.853469 28.953148, -97.854684 28.952912, -97.856743 28.952174, -97.86032 28.95049, -97.861265 28.950549, -97.861266 28.950549, -97.861839 28.951288, -97.862987 28.951524, -97.866193 28.951465, -97.868623 28.952262, -97.870919 28.952026, -97.872907 28.952676, -97.874291 28.95244, -97.873941 28.948191, -97.874957 28.947228, -97.87699 28.946857, -97.878685 28.947228, -97.884403 28.956884, -97.88757 28.95566, -97.891519 28.955552, -97.892218 28.956236, -97.894398 28.961022, -97.896413 28.960483, -97.896454 28.958539, -97.896455 28.958539, -97.897318 28.958107, -97.896537 28.956488, -97.897935 28.955984, -97.898799 28.957064, -97.900018 28.956578, -97.908985 28.968114, -97.911025 28.967627, -97.916219 28.975687, -97.916091 28.976462, -97.91136 28.979141, -97.91136 28.97914, -97.909567 28.976111, -97.907959 28.976003, -97.899859 28.978816, -97.89887 28.979465, -97.891574 28.982548, -97.882114 28.987362, -97.883845 28.989633, -97.881876 28.991259, -97.880394 28.994142, -97.878893 28.996799, -97.876226 28.998289, -97.87319 29.000556, -97.872597 29.003115, -97.871594 29.003304, -97.861768 29.007379, -97.862361 29.008638, -97.866182 29.015451, -97.860499 29.018247, -97.853315 29.006318, -97.855915 29.003401, -97.855915 29.0034, -97.860027 29.001323, -97.860072 28.996928, -97.854316 28.997128, -97.849337 29.001283, -97.843425 28.994643, -97.848458 28.988769, -97.840737 28.983199, -97.849219 28.973306, -97.848305 28.972267, -97.845336 28.971587, -97.8399 28.96835, -97.845656 28.961675, -97.837936 28.956679, -97.83323 28.962794, -97.832408 28.962595, -97.826071 28.968418, -97.82132 28.968338, -97.810813 28.97781, -97.810548 28.976956, -97.80478 28.977257, -97.804051 28.980538, -97.79945 28.980598, -97.799519 28.980958, -97.799381 28.983056, -97.798489 28.984618, -97.796841 28.98708, -97.796978 28.988222, -97.798832 28.988462, -97.800137 28.989003, -97.801373 28.988822, -97.803364 28.989303, -97.804257 28.990685, -97.805081 28.99525, -97.808515 28.996991, -97.812507 29.001707, -97.812548 29.004764, -97.813206 29.006023, -97.814522 29.006635, -97.823242 29.006599, -97.823131 29.007843, -97.822999 29.015358, -97.81794 29.015754, -97.817899 29.016293, -97.815966 29.01989, -97.809593 29.033877, -97.814512 29.034055, -97.813649 29.039378, -97.80392 29.039615, -97.804225 29.052744, -97.805586 29.052656, -97.819252 29.052296, -97.82098 29.052677, -97.825238 29.053097, -97.85257 29.039769, -97.855729 29.043611, -97.855592 29.048654, -97.855661 29.052136, -97.85731 29.055047, -97.863493 29.054668, -97.86677 29.057263, -97.871716 29.05656, -97.879072 29.054502, -97.877897 29.051583, -97.891182 29.045001, -97.887843 29.039704, -97.888523 29.039109, -97.912462 29.027013, -97.913076 29.025631, -97.910794 29.019497, -97.911403 29.018577, -97.910122 29.01624, -97.903108 29.019551, -97.901271 29.016776, -97.899823 29.01736, -97.897763 29.013806, -97.900937 29.011664, -97.901298 29.008599, -97.923677 28.99779, -97.924193 28.996348, -97.924193 28.996347, -97.939502 28.988751, -97.939411 28.983784, -97.944143 28.98091, -97.944618 28.977555, -97.949963 28.974097, -97.949482 28.971442, -97.957833 28.96701, -97.956608 28.965062, -97.967583 28.959798, -97.971146 28.965448, -97.987513 28.958678, -97.987124 28.95707, -97.985064 28.957557, -97.98434 28.956242, -97.987608 28.954962, -97.988014 28.946274, -97.987247 28.945169), (-97.831245 29.024451, -97.830267 29.027159, -97.829072 29.028965, -97.827912 29.029471, -97.827911 29.029471, -97.827062 29.029238, -97.824623 29.030768, -97.823774 29.032205, -97.822606 29.033858, -97.816847 29.033905, -97.817119 29.028442, -97.818423 29.026209, -97.823041 29.020175, -97.829018 29.020223, -97.829941 29.023073, -97.831245 29.024451), (-97.856127 29.030407, -97.859158 29.035678, -97.852673 29.039049, -97.849939 29.034325, -97.850137 29.031388, -97.850137 29.031387, -97.852739 29.030235, -97.854287 29.029688, -97.855045 29.029285, -97.856127 29.030407), (-97.893917 28.943487, -97.89542 28.943487, -97.895309 28.944657, -97.893718 28.945234, -97.892939 28.946257, -97.89177 28.946696, -97.8906 28.946306, -97.890155 28.943285, -97.880134 28.943139, -97.879967 28.926428, -97.89344 28.92633, -97.893917 28.943487), (-97.896944 28.99997, -97.904563 28.994665, -97.905666 28.996288, -97.905665 28.996288, -97.90341 28.997471, -97.902758 28.99905, -97.897595 29.001461, -97.896944 28.99997))"
138960,"POLYGON ((-97.694341 28.944375, -97.690166 28.950195, -97.696914 28.953891, -97.700429 28.948461, -97.698828 28.946749, -97.694341 28.944375))"
138961,"POLYGON ((-97.702803 28.951009, -97.702837 28.952617, -97.704252 28.952565, -97.702803 28.951009))"
138962,"POLYGON ((-97.580698 28.991589, -97.582222 28.990128, -97.585269 28.984797, -97.585711 28.984196, -97.588266 28.985184, -97.588267 28.985184, -97.589495 28.986689, -97.590429 28.986861, -97.594606 28.980499, -97.59667 28.976243, -97.591608 28.973319, -97.585367 28.974652, -97.580944 28.97534, -97.577062 28.975942, -97.574261 28.976071, -97.572835 28.978994, -97.573818 28.9811, -97.576128 28.982347, -97.575981 28.984841, -97.573573 28.984626, -97.572688 28.988022, -97.580698 28.991589))"
138963,"POLYGON ((-97.663364 29.015519, -97.660879 29.015519, -97.656696 29.021085, -97.657605 29.029672, -97.661788 29.031846, -97.664758 29.031475, -97.667911 29.033065, -97.669669 29.030308, -97.669547 29.020608, -97.665001 29.01817, -97.663364 29.015519))"
138964,"POLYGON ((-97.656624 29.078854, -97.657609 29.078145, -97.65786 29.077964, -97.658798 29.07724, -97.655543 29.079361, -97.654285 29.080571, -97.655702 29.079518, -97.655712 29.079511, -97.656437 29.078989, -97.656451 29.078979, -97.656466 29.078968, -97.656624 29.078854))"
138965,"POLYGON ((-97.493768 29.134972, -97.492816 29.134312, -97.478992 29.150334, -97.480103 29.151247, -97.493768 29.134972))"
138966,"POLYGON ((-97.522176 29.178134, -97.517789 29.17522, -97.512197 29.182981, -97.513838 29.184403, -97.516887 29.182111, -97.522138 29.178163, -97.522176 29.178134))"
138967,"POLYGON ((-97.32284 29.298189, -97.322421 29.299194, -97.329333 29.30481, -97.329647 29.303029, -97.32949 29.300929, -97.325772 29.298326, -97.32284 29.298189))"
138968,"POLYGON ((-97.662321 29.186862, -97.658126 29.175175, -97.670391 29.171605, -97.671717 29.172908, -97.673099 29.173342, -97.675761 29.170588, -97.672426 29.167375, -97.671505 29.166488, -97.670592 29.165549, -97.664195 29.159313, -97.664123 29.159243, -97.660423 29.155648, -97.659157 29.154418, -97.656167 29.151516, -97.654148 29.152637, -97.652435 29.15283, -97.652767 29.156062, -97.650336 29.157027, -97.642766 29.159392, -97.642766 29.159391, -97.636357 29.144868, -97.636081 29.145157, -97.631827 29.143275, -97.630169 29.145785, -97.621931 29.158217, -97.619946 29.157576, -97.615131 29.165118, -97.61899 29.166787, -97.623794 29.159359, -97.625521 29.160418, -97.616407 29.174089, -97.628213 29.179418, -97.632918 29.172615, -97.662321 29.186862))"
138969,"POLYGON ((-97.522138 29.178163, -97.516887 29.182111, -97.513838 29.184403, -97.519673 29.189457, -97.526148 29.180771, -97.522177 29.178134, -97.522138 29.178163))"
138970,"POLYGON ((-97.523642 29.236368, -97.515435 29.233657, -97.512965 29.237967, -97.51161 29.245545, -97.535434 29.262368, -97.545872 29.245059, -97.536231 29.239984, -97.527307 29.239567, -97.524678 29.242973, -97.521889 29.241791, -97.522207 29.237689, -97.522208 29.237689, -97.523642 29.23762, -97.523642 29.236368))"
