Geometry
"POLYGON((-102.52127005378091 32.08910683801379,-102.520604 32.087004,-102.520833 32.087004,-102.518731 32.087002,-102.518699 32.08703,-102.52127005378091 32.08910683801379))"
"POLYGON((-102.536764 32.089403,-102.544229 32.089278,-102.545269 32.08837,-102.54527 32.08837,-102.549514 32.088298,-102.550555 32.08739,-102.552677 32.087354,-102.553041 32.087037,-102.551774 32.087035,-102.551217 32.087035,-102.550321 32.087034,-102.547633 32.087031,-102.546647 32.087031,-102.546377 32.087033,-102.546287 32.087031,-102.54571453362392 32.08703034462922,-102.538823 32.08865,-102.530584 32.090574,-102.52244263665587 32.092475956849206,-102.522485 32.092611,-102.524929 32.092062,-102.52493 32.092062,-102.525187 32.09227,-102.529432 32.0922,-102.530473 32.091291,-102.533657 32.091238,-102.533637 32.090347,-102.534009 32.090022,-102.536764 32.089403))"
"POLYGON((-102.45751981837445 32.199419064121685,-102.4615322854889 32.19849784939543,-102.458522 32.198547,-102.45751981837445 32.199419064121685))"
"POLYGON((-102.46596 32.198426,-102.4654393506173 32.198434760927114,-102.46713836643772 32.203637156335006,-102.467062 32.200191,-102.465979 32.199317,-102.46596 32.198426))"
"POLYGON((-102.46719013463475 32.2037956708275,-102.46746 32.204622,-102.46941942511829 32.21062177005216,-102.469306 32.205504,-102.46719013463475 32.2037956708275))"
"POLYGON((-102.46587954575025 32.22020988658321,-102.464271 32.215397,-102.464553 32.213605,-102.464553 32.213604,-102.468421 32.213542,-102.469464 32.212633,-102.46944233941039 32.211655668712886,-102.461587 32.213559,-102.463934 32.220671,-102.46587954575025 32.22020988658321))"
"POLYGON((-102.48189 32.245417,-102.480807 32.244543,-102.480708 32.240087,-102.479625 32.239213,-102.479605 32.238322,-102.478522 32.237448,-102.478423 32.232992,-102.47734 32.232119,-102.47734 32.232118,-102.47728 32.229445,-102.476198 32.228571,-102.476158 32.226789,-102.475075 32.225915,-102.475016 32.223241,-102.473933 32.222367,-102.473913 32.221476,-102.47266543028137 32.220468724310315,-102.474454 32.225889,-102.474452 32.22589,-102.476745 32.232959,-102.479037 32.240028,-102.479036 32.240028,-102.481332 32.247147,-102.482252 32.25,-102.482252 32.250002,-102.483305 32.253265,-102.483306 32.253268,-102.483628 32.254265,-102.475485 32.256174,-102.47060800356888 32.25731747656436,-102.471538 32.258068,-102.472601 32.258051,-102.473644 32.257142,-102.477897 32.257073,-102.47894 32.256164,-102.481067 32.256129,-102.48211 32.255221,-102.483173 32.255203,-102.484216 32.254294,-102.484116 32.249838,-102.483033 32.248965,-102.482993 32.247182,-102.48191 32.246308,-102.48189 32.245417))"
"POLYGON((-102.450702 32.261982,-102.45047839648713 32.26203435719807,-102.451300771245 32.263746450045936,-102.451454 32.263744,-102.451435 32.262852,-102.452478 32.261944,-102.451395 32.26107,-102.451376 32.260179,-102.450408 32.259397,-102.449703 32.256118,-102.451216 32.254625,-102.451904 32.254477,-102.452321 32.254814,-102.455511 32.254762,-102.456554 32.253854,-102.459744 32.253802,-102.460787 32.252894,-102.46185 32.252876,-102.462679 32.252154,-102.464574 32.251746,-102.466148 32.254853,-102.466182 32.256372,-102.46699697203482 32.25702969672985,-102.465008 32.250976,-102.456747 32.25293,-102.448475 32.254852,-102.448475 32.254853,-102.450702 32.261982))"
"POLYGON((-102.436939 32.219157,-102.43060894142336 32.22066836003011,-102.43062829566863 32.22070865341772,-102.437401 32.219124,-102.445421 32.217329,-102.445421 32.217328,-102.443141 32.210308,-102.435144 32.212127,-102.43493023487686 32.21146429970465,-102.435225 32.212462,-102.436677 32.21227,-102.438626 32.212239,-102.438933 32.211972,-102.443042 32.211428,-102.443348 32.211675,-102.443348 32.211676,-102.44425 32.216425,-102.444038 32.21661,-102.444056 32.217458,-102.439833 32.218466,-102.439825 32.218461,-102.4377 32.218494,-102.436939 32.219157))"
"POLYGON((-102.52082849112277 32.242698038550486,-102.52021616196511 32.24109945999397,-102.520079 32.241219,-102.520099 32.24211,-102.52082849112277 32.242698038550486))"
"POLYGON((-102.52131341426707 32.24396400429839,-102.52119799599747 32.243662687321226,-102.521203 32.243875,-102.52131341426707 32.24396400429839))"
"POLYGON((-102.499911 32.286572,-102.49915889352101 32.285229627953534,-102.49962620885384 32.286623077309635,-102.499911 32.286572))"
"POLYGON((-102.532607 32.087017,-102.529455 32.087014,-102.529441 32.087014,-102.529404 32.087008,-102.529388 32.087014,-102.523367 32.087007,-102.520833 32.087004,-102.520604 32.087004,-102.52127005378091 32.08910683801379,-102.521425 32.089232,-102.52244263665587 32.092475956849206,-102.530584 32.090574,-102.538823 32.08865,-102.54571453362392 32.08703034462922,-102.54454 32.087029,-102.539302 32.087023,-102.537556 32.087022,-102.537518 32.087013,-102.53741 32.087021,-102.537374 32.087022,-102.536428 32.087021,-102.53359 32.087018,-102.532644 32.087017,-102.532607 32.087017))"
"POLYGON((-102.52244263665587 32.092475956849206,-102.521425 32.089232,-102.52127005378091 32.08910683801379,-102.521463 32.089716,-102.522344 32.092499,-102.52244263665587 32.092475956849206))"
"POLYGON((-102.490637 32.208721,-102.489555 32.207848,-102.48743 32.207883,-102.488512 32.208756,-102.490637 32.208721))"
"POLYGON((-102.498056 32.207708,-102.496973 32.206834,-102.494848 32.206869,-102.495931 32.207743,-102.498056 32.207708))"
"POLYGON((-102.490638 32.208721,-102.492763 32.208686,-102.494848 32.206869,-102.49166 32.206922,-102.49168 32.207813,-102.490638 32.208721))"
"POLYGON((-102.503821 32.206662,-102.502986 32.204082,-102.486448 32.207863,-102.487268 32.210292,-102.503821 32.206662),(-102.495931 32.207743,-102.494848 32.206869,-102.496973 32.206834,-102.498056 32.207708,-102.495931 32.207743),(-102.49166 32.206922,-102.494848 32.206869,-102.492763 32.208686,-102.490638 32.208721,-102.49168 32.207813,-102.49166 32.206922),(-102.48743 32.207883,-102.489555 32.207848,-102.490637 32.208721,-102.488512 32.208756,-102.48743 32.207883))"
"POLYGON((-102.437401 32.219124,-102.43062829566863 32.22070865341772,-102.45047839648713 32.26203435719807,-102.450702 32.261982,-102.448475 32.254853,-102.448475 32.254852,-102.456747 32.25293,-102.465008 32.250976,-102.46699697203482 32.25702969672985,-102.467265 32.257246,-102.470455 32.257194,-102.47060800356888 32.25731747656436,-102.475485 32.256174,-102.483628 32.254265,-102.483306 32.253268,-102.483305 32.253265,-102.482252 32.250002,-102.482252 32.25,-102.481332 32.247147,-102.479036 32.240028,-102.479037 32.240028,-102.476745 32.232959,-102.474452 32.22589,-102.474454 32.225889,-102.47266543028137 32.220468724310315,-102.471748 32.219728,-102.470859 32.219743,-102.470576 32.219237,-102.465911 32.220304,-102.46587954575025 32.22020988658321,-102.463934 32.220671,-102.461587 32.213559,-102.46944233941039 32.211655668712886,-102.46941942511829 32.21062177005216,-102.46746 32.204622,-102.46719013463475 32.2037956708275,-102.467141 32.203756,-102.46713836643772 32.203637156335006,-102.4654393506173 32.198434760927114,-102.465128 32.19844,-102.465106 32.197846,-102.462503 32.198482,-102.4615322854889 32.19849784939543,-102.45751981837445 32.199419064121685,-102.457074 32.199807,-102.457074 32.199808,-102.450774 32.201346,-102.449018 32.201374,-102.448379 32.20193,-102.442957 32.203254,-102.442682 32.203259,-102.442581 32.203346,-102.433208 32.205635,-102.43493023487686 32.21146429970465,-102.435144 32.212127,-102.443141 32.210308,-102.445421 32.217328,-102.445421 32.217329,-102.437401 32.219124))"
"POLYGON((-102.465128 32.19844,-102.4654393506173 32.198434760927114,-102.465186 32.197659,-102.4615322854889 32.19849784939543,-102.462503 32.198482,-102.465106 32.197846,-102.465128 32.19844))"
"POLYGON((-102.46719013463475 32.2037956708275,-102.46713836643772 32.203637156335006,-102.467141 32.203756,-102.46719013463475 32.2037956708275))"
